model_name,test_accuracy,accuracy_ci_lower,accuracy_ci_upper,test_f1,f1_ci_lower,f1_ci_upper,test_recall,recall_ci_lower,recall_ci_upper,test_auc,auc_ci_lower,auc_ci_upper,train_accuracy,train_auc
Support Vector Machine (SVM),0.8997474747474747,0.8901515151515151,0.9083396464646465,0.9008331666648961,0.8916831633317177,0.9094817209151732,0.9003737977055991,0.8910646193502574,0.9091622217335348,0.9949941293965545,0.9941508521627421,0.9957449208909895,0.9866127810053044,0.9998394369368331
Logistic Regression,0.9042929292929293,0.8949494949494949,0.9131313131313131,0.9048096761529681,0.8954095885816031,0.9133203339743,0.9049476848305358,0.8954655399336953,0.9133717865138471,0.9933857934416214,0.9920930206609936,0.9945094588893417,0.9897280458028122,0.9999442096770671
LightGBM,0.896969696969697,0.8876262626262627,0.9058080808080808,0.8971451894652485,0.8879037594916595,0.9056241354556375,0.8972447217538667,0.8876493066512487,0.9060327657493695,0.992052136195002,0.990576684915399,0.9932773074893104,0.9918329544497769,0.9999687635650405
Calibrated SVM,0.9005050505050505,0.8916666666666667,0.9088383838383839,0.9010421385588742,0.8922661165267923,0.9090816453016171,0.9013260008613092,0.892808625306329,0.9097079549790079,0.9918068326192194,0.9901435513859758,0.9932760262384764,0.9839184979371896,0.9998325901222653
Multinomial Naive Bayes,0.8661616161616161,0.8553030303030303,0.8762626262626263,0.8668624034933647,0.8563336831143753,0.8769004003770383,0.8669232477513128,0.8566800709982303,0.8768043383508496,0.9905929293955437,0.9891397470528737,0.991789487163339,0.9472088911341248,0.9986505580786162
XGBClassifier,0.8888888888888888,0.8792866161616162,0.8982323232323233,0.8894953160750229,0.8799404826425847,0.8987909110956426,0.8891644324274409,0.8796952451243297,0.898623199385061,0.9893778874944704,0.9875644357433662,0.9909699528961458,0.9861917992759114,0.9998815339170973
Stochastic Gradient Descent (SGD),0.8565656565656565,0.8459595959595959,0.8676767676767677,0.8572571896391881,0.8465873251884422,0.8680216491142827,0.857744177106711,0.8473466492001998,0.8683542748940266,0.9888733979725641,0.987388573760526,0.9901557535779658,0.9254862338974489,0.9963261935599759
Random Forest,0.8815656565656566,0.8709532828282828,0.8921780303030303,0.8807964890540615,0.870517537933619,0.8911543388996529,0.8827502051631066,0.8732086848841106,0.8928674665276882,0.9866496865477753,0.9848602312689226,0.9882932916314625,0.9843394796665824,0.9991315317883954
Extra Trees,0.8590909090909091,0.8494886363636364,0.8694444444444445,0.857580159795794,0.8474230492656704,0.8674627827768777,0.8601711829251352,0.850473731963874,0.8697888781402459,0.9830922408021228,0.9811078619740985,0.9848684978801917,0.9702786899048581,0.9975741694752166
K-Nearest Neighbors,0.8664141414141414,0.8555492424242424,0.8765151515151515,0.8657159675784927,0.8547976322809209,0.8754278985367508,0.8667193286101295,0.8562383048875021,0.8767661256735025,0.9779739935368573,0.9746656624702983,0.9809017335691584,0.9918329544497769,0.9999689068265627
Decision Tree,0.7785353535353535,0.7648926767676767,0.7914204545454546,0.7777919425454018,0.7637429973998098,0.7902201322907718,0.7790509855265652,0.7654511661868808,0.7914617526800735,0.9144455486788824,0.9083089984886077,0.9207917263420777,0.9404731834638377,0.9990382409795665
Ridge Classifier,0.8924242424242425,0.882064393939394,0.9015151515151515,0.8928976535046033,0.8828180405526849,0.9020483768579863,0.8931191838921558,0.8834371614511446,0.9021996964303954,,,,0.9904016165698408,
Linear Support Vector Machine (LinearSVC),0.8601010101010101,0.85,0.8707133838383838,0.8602307579904861,0.8500028203109198,0.8707854196493084,0.8614164225459433,0.8518038254265968,0.8718548127562797,,,,0.9344110465605793,
